insertId;logName;receiveTimestamp;timestamp;trace;code;string_value;lang;is_fallback_intent;webhook_for_slot_filling_used;webhook_used;intent_name;intent_id;score;resolved_query;source
14irkn2fs81t05;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:11.672000+00:00;2022-04-27 08:48:11.662000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Hej! Jeg er ComIzed virtuelle agent. Du kan stille mig spørgsmål om vores løsninger og du er også velkommen til at bede mig om at booke et opkald fra en af vores konsulenter.;da;false;false;false;Default Welcome Intent;4f730c6c-f6b3-4273-85ce-462a15f0b4da;0.7;hej med dig;agent
1xngr25fknwaru;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:22.840000+00:00;2022-04-27 08:48:22.833000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Vi er altid tilgængelige på vores tlf. +45 78 78 10 00, hvis du har brug for support, også weekender og helligdage.;da;false;false;false;opening-hours;931d60aa-12a8-48c8-9f44-5186b485b4ab;0.6968229;hvad jeg jeres åbningstider?;agent
y4p0h5fs8l0xw;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:31.586000+00:00;2022-04-27 08:48:31.576000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;ComIzed blev født i 2016, og jeg kom til i 2022🎈🎂;da;false;false;false;What-is-your-age;21380233-47ec-4210-8031-c8b87868472e;1.0;hvor gammel er du?;agent
15wd7kzfrkavs0;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:48.556000+00:00;2022-04-27 08:48:48.544000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Jeg er ComIzed virtuelle agent. Du kan stille mig spørgsmål om ComIzed. Du er også velkommen til at bede mig om, at booke et opkald fra en af vores konsulenter. Så ringer vi til dig, når det passer dig. Skal vi booke et møde sammen?;da;false;false;false;What-can-you-do;c9312e14-6e55-4316-9077-0b2571dc8bdb;0.51831317;hvad kan du?;agent
chi2foe1gh90;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:54.760000+00:00;2022-04-27 08:48:54.739000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Hvilken dato?;da;false;false;true;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;1.0;jeg vil booke møde;agent
pj4gk0fc16rz9;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:48:57.998000+00:00;2022-04-27 08:48:57.988000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Hvad tid passer dig?;da;false;false;true;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;0.7;i morgen;agent
j59rd6fs0rde3;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:49:16.186000+00:00;2022-04-27 08:49:16.177000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;På hvilket telefonnummer må vi kontakte dig?;da;false;false;true;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;0.6;klokken 13;agent
w6x4ppfqzmldl;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:49:21.257000+00:00;2022-04-27 08:49:21.249000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Hvad er dit navn?;da;false;false;true;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;0.4;28711545;agent
19sgeo8frg7t8v;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:49:26.813000+00:00;2022-04-27 08:49:26.800000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Er der noget særligt du vil have information om på mødet?;da;false;false;true;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;0.3;sebastian;agent
1ixsjjhfqjtlwp;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:49:34.176000+00:00;2022-04-27 08:49:34.164000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;Ok, jeg booker et møde den April 28, 2 PM! \nEr der andet jeg kan hjælpe dig med?;da;false;false;false;Book møde;8914bde5-a0df-4ccd-9d24-2c5a5c961135;0.3;jeres priser;agent
1ndyogxfm5cvx4;projects/comized-webchat-agent-wpwe/logs/dialogflow_agent;2022-04-27 08:49:47.388000+00:00;2022-04-27 08:49:47.378000+00:00;81875b13-59fc-5ade-55c8-e59b568ce844;200;ComIzeds vision bygger på ønsket om at være formidler af ydelser og løsninger, der forbedrer kundeoplevelser ved brug af verdens førende teknologi, operationelle viden, struktur og vores helt eget;da;false;false;false;Vision Comized;554ba1fd-242b-4bbf-841d-7e407fbee9b8;0.586157;fortæl om vision comized;agent
